date, pm25, pm10, o3, no2, so2, co
2023-05-24,28,21,36,13,5,5
2023-05-25,31,26,44,13,4,5
2023-05-26,45,40,35,10,4,5
2023-05-27,68,22,24,9,3,3
2023-05-28,50,24,27,19,4,8
2023-05-29,50,27,34,17,6,8
2023-05-30,57,32,35,14,5,7
2023-05-31,54,31,26,13,4,4
2023-06-01,56,36,46,6,5,6
2023-06-02,60,44,46,8,8,8
2023-06-03,69,30,49,5,2,5
2023-06-04,47,33,59,8,3,5
2023-06-05,52,22,47,6,4,5
2023-06-06,47,40,66,9,3,4
2023-06-07,66,35,55,15,4,3
2023-06-08,68,41,70,20,11,8
2023-06-09,82,43,76,14,4,6
2023-06-10,88,32,50,13,6,7
2023-06-11,71,32,48,15,7,6
2023-06-12,61,34,51,15,5,6
2023-06-13,69,36,51,21,5,12
2023-06-14,68,25,50,16,7,6
2023-06-15,50,37,67,15,7,7
2023-06-16,77,33,89,10,3,6
2023-06-17,75,41,96,14,10,9
2023-06-18,79,50,50,21,12,13
2023-06-19,79,26,31,8,6,4
2023-06-20,35,22,30,14,3,5
2023-06-21,48,23,39,12,5,6
2023-06-22,41,28,35,13,7,4
2023-06-23,50,19,39,12,4,4
2023-06-24,40,19,41,11,6,4
2023-06-25,49,20,15,14,4,5
2023-06-26,45,25,39,13,4,5
2023-06-27,47,15,40,10,3,4
2023-06-28,37,22,26,12,4,5
2023-06-29,53,32,37,23,5,8
2023-06-30,69,40,40,16,7,8
2023-01-02,58,24,28,12,1,5
2023-01-03,57,28,29,17,2,4
2023-01-04,64,51,39,17,2,6
2023-01-05,109,63,37,26,3,7
2023-01-06,145,73,35,19,2,8
2023-01-07,149,60,32,17,1,5
2023-01-08,108,76,33,26,3,5
2023-01-09,126,57,24,26,3,7
2023-01-10,105,32,28,25,1,5
2023-01-11,80,52,30,38,5,6
2023-01-12,92,41,27,29,4,7
2023-01-13,86,33,31,20,3,9
2023-01-14,64,22,25,11,2,5
2023-01-15,51,30,25,11,2,5
2023-01-16,64,35,27,14,1,4
2023-01-17,65,51,27,16,2,5
2023-01-18,83,59,29,21,2,8
2023-01-19,72,70,29,15,2,6
2023-01-20,86,28,30,12,2,6
2023-01-21,51,26,27,17,3,7
2023-01-22,58,44,34,15,4,6
2023-01-23,74,47,29,7,2,5
2023-01-24,66,20,29,11,2,4
2023-01-25,41,27,26,21,3,5
2023-01-26,49,39,26,13,3,4
2023-01-27,63,33,25,11,3,4
2023-01-28,53,43,32,13,3,4
2023-01-29,57,42,28,16,3,5
2023-01-30,59,34,27,22,4,5
2023-01-31,51,59,36,32,4,4
2023-02-01,95,40,25,28,5,6
2023-02-02,71,40,24,35,3,6
2023-02-03,75,37,33,19,3,5
2023-02-04,72,45,38,23,4,6
2023-02-05,87,52,35,36,7,6
2023-02-06,103,65,36,40,5,9
2023-02-07,112,58,36,26,3,8
2023-02-08,116,57,34,36,9,5
2023-02-09,100,18,26,23,1,5
2023-02-10,40,47,34,29,2,6
2023-02-11,107,48,35,25,5,9
2023-02-12,103,46,32,29,5,12
2023-02-13,79,31,28,28,3,6
2023-02-14,63,32,26,17,2,5
2023-02-15,59,26,21,21,1,6
2023-02-16,50,43,28,35,1,6
2023-02-17,83,48,15,29,1,6
2023-02-18,98,40,39,16,1,6
2023-02-19,79,43,30,14,1,4
2023-02-20,48,31,30,17,4,5
2023-02-21,52,32,33,21,2,5
2023-02-22,67,40,39,19,4,6
2023-02-23,74,63,41,20,4,7
2023-02-24,128,40,31,16,3,6
2023-02-25,68,43,39,18,3,5
2023-02-26,68,45,34,24,3,5
2023-02-27,80,41,40,20,4,5
2023-02-28,77,32,41,15,2,5
2023-03-01,65,45,31,16,2,5
2023-03-02,60,55,39,15,2,5
2023-03-03,67,60,46,19,3,6
2023-03-04,92,51,41,20,4,6
2023-03-05,79,54,48,20,2,5
2023-03-06,89,63,61,27,4,5
2023-03-07,106,60,57,20,4,6
2023-03-08,90,57,42,22,3,6
2023-03-09,89,75,34,23,4,8
2023-03-10,102,88,83,21,4,8
2023-03-11,125,53,39,13,3,4
2023-03-12,88,42,31,15,2,4
2023-03-13,38,58,40,19,3,5
2023-03-14,55,44,38,22,3,5
2023-03-15,56,55,34,18,5,5
2023-03-16,57,57,35,17,5,5
2023-03-17,53,41,37,16,4,4
2023-03-18,53,58,56,16,3,6
2023-03-19,87,62,54,22,4,5
2023-03-20,91,56,56,20,9,7
2023-03-21,90,50,29,27,5,8
2023-03-22,91,43,37,33,6,17
2023-03-23,78,102,34,18,4,5
2023-03-24,90,90,32,14,4,4
