date, pm25, pm10, o3, no2, so2, co
2023/1/24, 49, 15, 30, 17, 3, 3
2023/1/25, 29, 38, 17, 44, 5, 5
2023/1/26, 65, 35, 32, 14, 4, 4
2023/1/27, 52, 23, 29, 10, 4, 3
2023/1/28, 50, 38, 32, 22, 3, 4
2023/1/29, 57, 36, 32, 21, 4, 4
2023/1/30, 55, 33, 30, 41, 5, 5
2023/1/31, 57, 48, 44, 37, 5, 7
2023/2/1, 84, 34, 33, 28, 4, 3
2023/2/2, 65, 43, 25, 42, 5, 4
2023/2/3, 80, 36, 38, 23, 4, 4
2023/2/4, 71, 41, 39, 31, 4, 5
2023/2/5, 84, 46, 29, 54, 6, 6
2023/2/6, 90, 48, 43, 51, 7, 7
2023/2/7, 102, 50, 42, 34, 4, 5
2023/2/8, 109, 40, 37, 31, 5, 5
2023/2/9, 82, 11, 32, 18, 2, 3
2023/2/10, 30, 47, 27, 34, 3, 6
2023/2/11, 106, 43, 40, 29, 3, 6
2023/2/12, 101, 32, 37, 22, 3, 5
2023/2/13, 72, 26, 35, 25, 3, 5
2023/2/14, 61, 12, 31, 16, 10, 3
2023/2/15, 28, 21, 27, 33, 4, 4
2023/2/16, 48, 48, 14, 49, 5, 5
2023/2/17, 97, 41, 7, 38, 4, 6
2023/2/18, 98, 37, 44, 16, 4, 5
2023/2/19, 94, 26, 37, 13, 4, 3
2023/2/20, 40, 25, 32, 19, 4, 4
2023/2/21, 48, 23, 35, 31, 5, 5
2023/2/22, 54, 33, 39, 37, 5, 5
2023/2/23, 72, 53, 44, 27, 4, 5
2023/2/24, 118, 34, 42, 17, 3, 4
2023/2/25, 73, 32, 42, 22, 3, 7
2023/2/26, 73, 39, 40, 44, 5, 7
2023/2/27, 88, 28, 47, 35, 4, 4
2023/2/28, 66, 30, 46, 30, 4, 4
2023/3/1, 76, 32, 38, 22, 3, 3
2023/3/2, 50, 38, 41, 30, 4, 4
2023/3/3, 64, 52, 54, 33, 5, 5
2023/3/4, 101, 34, 46, 24, 4, 4
2023/3/5, 64, 45, 63, 40, 4, 5
2023/3/6, 83, 55, 62, 47, 4, 5
2023/3/7, 99, 51, 71, 43, 9, 5
2023/3/8, 85, 41, 40, 35, 4, 5
2023/3/9, 71, 63, 54, 44, 4, 6
2023/3/10, 113, 74, 58, 38, 6, 7
2023/3/11, 127, 52, 41, 16, 7, 7
2023/3/12, 97, 30, 37, 16, 4, 4
2023/3/13, 45, 50, 43, 37, 6, 5
2023/3/14, 63, 35, 41, 33, 5, 6
2023/3/15, 54, 39, 39, 21, 3, 4
2023/3/16, 51, 44, 38, 24, 3, 3
2023/3/17, 57, 34, 43, 19, 3, 3
2023/3/18, 54, 45, 55, 20, 2, 4
2023/3/19, 73, 52, 61, 37, 4, 4
2023/3/20, 85, 49, 52, 38, 5, 4
2023/3/21, 82, 22, 40, 26, 4, 4
2023/3/22, 54, 12, 27, 28, 3, 5
2023/3/23, 36, 66, 40, 28, 4, 4
2023/3/24, 81, 78, 39, 15, 3, 3
2023/3/25, 67, 72, 40, 17, 3, 3
2023/3/26, 72, 39, 42, 21, 3, 2
2023/3/27, 55, 43, 49, 37, 4, 3
2023/3/28, 67, 72, 83, 43, 4, 5
2023/3/29, 123, 81, 67, 57, 5, 6
2023/3/30, 140, 57, 73, 50, 4, 4
2023/3/31, 98, 55, 85, 33, 5, 4
2022/10/1, 91, 27, 66, 16, 4, 4
2022/10/2, 75, 30, 51, 14, 3, 3
2022/10/3, 78, 16, 52, 9, 2, 4
2022/10/4, 40, 16, 26, 13, 3, 3
2022/10/5, 42, 16, 28, 17, 2, 3
2022/10/6, 49, 15, 35, 13, 8, 3
2022/10/7, 43, 13, 39, 12, 3, 3
2022/10/8, 35, 13, 29, 10, 3, 4
2022/10/9, 44, 12, 33, 4, 2, 3
2022/10/10, 31, 12, 37, 16, 3, 4
2022/10/11, 39, 24, 37, 25, 4, 4
2022/10/12, 59, 18, 39, 17, 4, 3
2022/10/13, 43, 18, 44, 18, 4, 4
2022/10/14, 48, 19, 51, 16, 4, 4
2022/10/15, 50, 14, 39, 13, 3, 5
2022/10/16, 43, 33, 46, 14, 3, 6
2022/10/17, 80, 23, 33, 13, 3, 5
2022/10/18, 50, 23, 33, 21, 4, 3
2022/10/19, 56, 28, 35, 35, 4, 4
2022/10/20, 67, 33, 38, 39, 5, 5
2022/10/21, 78, 24, 40, 23, 4, 4
2022/10/22, 63, 31, 48, 14, 3, 4
2022/10/23, 75, 25, 34, 14, 3, 3
2022/10/24, 59, 15, 31, 13, 3, 3
2022/10/25, 39, 20, 28, 24, 6, 3
2022/10/26, 46, 26, 40, 30, 4, 4
2022/10/27, 60, 37, 51, 26, 3, 5
2022/10/28, 78, 20, 31, 14, 3, 4
